news,target
"Գործող վարչախմբի քայլերը համահունչ են հարևան, բայց ոչ բարեկամ երկրների հայտարարություններին ու ցանկություններին. «Մայր Հայաստան» ժողովրդական շարժում",Քաղաքական
"Գյուլեր․ «Պարզ ճշմարտություն է՝ Ադրբեջանի ուժը մեր ուժն է, Թուրքիայի ուժը՝ Ադրբեջանինը»",Քաղաքական
"«Երբ Ռուսաստանում ձերբակալվեց հայ Լեւոն Հայրապետյանը, ձեզանից ո՞ր մեկը մի բառ ասաց»․ Բաբկեն Թունյան",Քաղաքական
Իսրայելին աջակցելու հարցում Թրամփը բարդ ընտրության առաջ է կանգնած. Սուրեն Սարգսյան,Քաղաքական
Խորամանկ դիվանագիտության ու երեսպաշտության արանքում,Քաղաքական
"«Սրբապղծություն է, երբ Նիկոլ Փաշինյանի միանձնյա հրամանով մեր զորքը տասնյակ կիլոմետրերով հետ է քաշվել, երբ Արցախը ճանաչվել է Ադրբեջանի կազմում»․ Աննա Գրիգորյան",Քաղաքական
"«Էնքան մարդ կա ստեղ բանտերում տեղավորելու, հերթով բոլորիդ կտեղավորեինք բանտերում՝ ուրիշների մոտ աշխատելու համար»․ Ալեն Սիմոնյան",Քաղաքական
"«Մեր բանտերում քանի՞ տեղ կա, Սրբուհի Գալյան, բոլորին չեք տեղավորի»․ Քրիստինե Վարդանյան",Քաղաքական
Արտակ Զեյնալյանը վայր է դրել ավագանու մանդատը,Քաղաքական
"«Դուք ադեկվա՞տ եք, դուք իսկապե՞ս չեք տեսնում, թե մեր շուրջն ինչ կատարվում»․ Էլինար Վարդանյանը՝ ՔՊ-ին",Քաղաքական
"Ապօրինի կալանքով, շինծու մեղադրանքով ինձ չեն կարող ճնշել, շեղել որդեգրածս սկզբունքներից. Սամվել Կարապետյանի ուղերձը",Քաղաքական
Սամվել Կարապետյանը կալանավորվեց 2 ամսով,Քաղաքական
"«Սամվել Կարապետյանն ըստ էության ասում է՝ իհարկե, իմ սեփականությունը իմ համար շատ կարեւոր է, բայց եթե խոսքը իմ ազգային արժանապատվության, իմ եկեղեցու մասին է, դա երկրորդական է դառնում». Գագիկ Մինասյան",Քաղաքական
"Սամվել Կարապետյանին ոչ թե որպես վտանգ ներկայացնել է պետք, այլ` հայրենանվեր մարդու օրինակ դարձնելով սերունդներ դաստիարակել. Ռուբեն Հայրապետյան",Քաղաքական
"Փաշինյանը ցույց է տալիս, որ հայերը Երեւանում ու Բաքվում արժանանում են նույն վերաբերմունքին. Աննա Մկրտչյան",Քաղաքական
Էրդողանը Փաշինյանին կընդունի Ստամբուլում. Անկարան հաստատում է ՀՀ վարչապետի այցը,Քաղաքական
"«Սիրելի ժողովուրդ, հեռու պահեք ձեզ այս չարիքի իշխանությունից: Նրանք կարող են ձեզ եւս տանել այն ճանապարհով, որով իրենք գնալու են բնականորեն». Գագիկ Մինասյան",Քաղաքական
"Վարդան Ղուկասյանը՝ Սամվել Կարապետյանին. «Սամվել, կողքդ կանգնած ենք, հեչ չմտածես, Աստված մեզ հետ է»",Քաղաքական
"«Իրանում գտնվող հայերին, նաեւ տարբեր երկրների քաղաքացիներին տարհանելու եւ ապաստան տրամադրելու գործընթացի մեջ ենք»․ Արարատ Միրզոյան",Քաղաքական
"«Եվ փախստականների, եւ լոգիստիկ, եւ էներգետիկ խնդիրները չի կարելի բացառել»․ Մհեր Գրիգորյանը՝ իսրայելա-իրանական պատերազմի հետեւանքների մասին",Քաղաքական
"«Ռուսական հանրային հեռուստաընկերության եթերում վիրավորանքներ են հնչել ՀՀ ղեկավարության նկատմամբ, հայտագիր ենք ուղարկել ՌԴ»․ Արարատ Միրզոյան",Քաղաքական
"«Էս էն դեպքն է, որ խառնվում ենք․ ՀԷՑ-ի աշխատողներին ասում եմ՝ պատժվելու եք»․ Նիկոլ Փաշինյան",Քաղաքական
Հակահայկական հրապարակումներ ռուսական գիտական ամսագրում․ «Գեղարդ» հիմնադրամի հետաքննությունը,Քաղաքական
Հայաստանի անվտանգային և տարածաշրջանային այս տագնապալի շրջանում նման պառակտիչ ու կործանիչ արշավ նախաձեռնելը թուլության և կարճատեսության նշան է. Գերմանահայոց կենտրոնական խորհուրդ,Քաղաքական
Հայաստանը պետք է հարգի ադրբեջանցիների՝ իրենց նախնիների հողեր վերադարձի իրավունքը. Ալիև,Քաղաքական
Ադրբեջանում գործող պանթյուրքական կազմակերպությունը Հայաստանին մեղադրել է հակաադրբեջանական բնույթի ապատեղեկատվություն տարածելու մեջ,Քաղաքական
"Մարդ մի անգամ է ապրում, բա մի անգամ իր մտածածը չասի՞. Լեւոն Ջավախյան",Քաղաքական
«Անհետ կորածների հարազատներն անորոշություն ունեն՝ կապված ԱԱԾ տնօրենի փոփոխության հետ․ ե՞րբ եք հանդիպելու նրանց հետ»․ Թադևոս Ավետիսյանը՝ Նիկոլ Փաշինյանին,Քաղաքական
«Անհետ կորածների հարազատներն անորոշություն ունեն՝ կապված ԱԱԾ տնօրենի փոփոխության հետ․ ե՞րբ եք հանդիպելու նրանց հետ»․ Թադևոս Ավետիսյանը՝ Նիկոլ Փաշինյանին,Քաղաքական
"Թող Նիկոլ Փաշինյանին ձերբակալեր, հետո նոր աշխատանքից ազատվեր. Լեւոն Ջավախյանը՝ ԱԱԾ տնօրենի մասին",Քաղաքական
«Ես սաղմոս եմ արտասանել․ հոգևոր զգացմունքներ ունեցող մարդ եմ»․ Նիկոլ Փաշինյան,Քաղաքական
"Սամվել Կարապետյանի հանդեպ իրականացվողը ոչ այլ ինչ է, քան անձնական հաշվեհարդարի ամոթալի, ձախավեր փորձ. հայտարարություն",Քաղաքական
Շարունակել պայքարը հայրենիք Արցախի ժողովրդի հավաքական վերադարձի իրավունքի համար․ «Եվրոպացիները հանուն Արցախի» հարթակը նիստ է գումարել,Քաղաքական
"Դավիթ Խուդաթյան. Տեղեկություններ ենք ստանում, որ Երևանից ու մարզերից ՀԷՑ-ի անձնակազմին ուղղորդում են Երևան՝ մասնակցելու ոմանց աջակցության հավաքի",Քաղաքական
Իրանի դեմ Իսրայելի սկսած պատերազմում Ադրբեջանի մասնակցության ոլորտները. Արտյոմ Տոնոյան,Քաղաքական
Այս քայլերն ուղղված են մեր ազգային միասնության քայքայմանը. Դիվանագետների համահայկական խորհուրդը վրդովմունք է հայտնում Սամվել Կարապետյանի ու նրա ընտանիքի դեմ իշխանությունների ձեռնարկված կամայականությունների առթիվ,Քաղաքական
«Պիտի կառավարական դաչայով ատկատ վերցնեի՞ք»․ Արման Եղոյան,Քաղաքական
"«Պարոն Փաշինյան, հուսով եմ՝ sms չեք գրում, չէ՞, որ իմ հետևից էլ գան, ես էլ եմ սատարում հայ առաքելական եկեղեցուն»․ Գառնիկ Դանիելյան",Քաղաքական
"Ադրբեջանցի օգտատերերը համարում են, որ Սևանն Ադրբեջանի համար պետք է լինի ներքին լիճ և ոչ թե սահմանագիծ",Քաղաքական
"Այսօր Արմեն Աբազյանն է, վաղը՝ դուք, այսօր Սամվել Կարապետյանն է, վաղը՝ դուք։ Քանի ուշ չէ, դադարե՛ք ծառայել այս իշխանություններին. Մանե Թանդիլյան",Քաղաքական
Սպառնալով՝ Փաշինյանը ենթակա է իրավական հետապնդման եւ դատապարտման. Սարգիս Շահինյան,Քաղաքական
"Խաչիկ Մանուկյան. «Իր գոյության 1000-ամյակների ընթացքում հայ ժողովուրդը այսքան սուտ ու խաբեություն չի լսել, ինչքան այս 7 տարիների ընթացքում»",Քաղաքական
«Արմեն Աբազյանն ասաց՝ այդ ճղճիմ թեմային չեմ ուզում անդրադառնալ․ այդ օրը պարզ էր՝ շուտով նա դառնալու է նախկին»․ Գեղամ Մանուկյան,Քաղաքական
"«Կարո՞ղ է մեր ընդդիմադիր գործընկերներն, օրինակ, ասեն, որ ՀԷՑ-ն ազգային արժեք է, և թուրք-ադրբեջանական տանդեմի դրդմամբ է իշխանությունը պատրաստվում պղծել այս ազգային արժեքը»․ Ռուբեն Ռուբինյան",Քաղաքական
Արցախի Սահմանադրությամբ՝ մինչև նորընտիր նախագահի կողմից պաշտոնի ստանձնումը Հանրապետության նախագահի լիազորություններն իրականացնում է ԱԺ նախագահը. հայտարարություն,Քաղաքական
"«Եթե Բաքվի պահանջով կարելի է Սահմանադրություն փոխել, ինչո՞ւ չի կարելի նույնն անել Եկեղեցու հանդեպ․ դուք նաեւ հոգեպես եք կապիտուլացված»․ Լիլիթ Գալստյան",Քաղաքական
Թուրքիայի պաշտպանության նախարարը և ԳՇ պետը այցելել են Վանի նահանգ ու ստուգել Իրանի հետ սահմանի վիճակը. Վարուժան Գեղամյան,Քաղաքական
«Այսօր անգամ փոքր բողոքի ակցիան վերածվում է քիթ-մռութ ջարդելու». Արծվիկ Մինասյան,Քաղաքական
«Որպես ՍԴ դատավորի թեկնածու՝ կաշկանդված եմ դիրքորոշում հայտնել»․ Արտակ Զեյնալյանը՝ Փաշինյանի կողմից ՍԴ-ն շրջափակելու կոչի մասին,Իրավական
"«Արտակ Զեյնալյանը 25 տարի ակտիվ քաղաքական գործունեությամբ է զբաղվել, չի՞ խախտվում այն պահանջը, որ ՍԴ դատավորը քաղաքական չեզոքություն պետք է պահպանի»",Իրավական
Այսպիսի աշխատաոճով աչքի ընկած անձն իրավունք ունի՞ հավակնել ՍԴ դատավորի թեկնածությանը. ՀՀ պահեստազորի զինծառայողների նախաձեռնությունը հարց է ուղղում Արտակ Զեյնալյանին,Իրավական
"Ազգայնացումը սանկցիա չէ, այն չի կարող մտահոգվելու առիթ լինել որևէ սեփականատիրոջ համար, որ նրան էլ իբր դրդի դիմելու հակազդման քայլերի. Գևորգ Դանիելյան",Իրավական
Կոտրել են ԱԺ «Հայաստան» խմբակցության պատգամավոր Գառնիկ Դանիելյանի մեքենայի ապակիները և հայելիները,Իրավական
"«Մարդասպանը կա, գողոնը կա, պետության կողմից գործողություն չկա». Նարեկ Սարգսյանի պաշտպան",Իրավական
Ձերբակալվել է Տաթև գյուղի վարչական ղեկավարը. ի՞նչ կապ ունի քույր և եղբոր ծեծի հետ. «Հետք»,Իրավական
Սամվել Կարապետյանի նկատմամբ իրականացվող հետապնդումը վարչապետի հակաեկեղեցական գործողությունների հերթական դրսևորումն է. Մայր Աթոռ Սուրբ Էջմիածին,Իրավական
"Ապօրինի կալանքով, շինծու մեղադրանքով ինձ չեն կարող ճնշել, շեղել որդեգրածս սկզբունքներից. Սամվել Կարապետյանի ուղերձը",Իրավական
Սամվել Կարապետյանը կալանավորվեց 2 ամսով,Իրավական
"Սամվել Կարապետյանի դեմ իրականացվող գործողությունները ակնհայտ քաղաքական հաշվեհարդար են, որոնք թաքնված են իրավական ընթացակարգերի անվան տակ. «Հայաստանը ես եմ» նախաձեռնություն",Իրավական
"«Մենք՝ Կանադայի թեմի հոգևոր հայրերն ու հավատացյալները, Տիար Սամվել Կարապետյանին, ընկալում ենք որպես այն բացառիկ հայորդիներից մեկը»",Իրավական
Ադրբեջանը մերժել է Շվեյցարիայի առաջարկը՝ միջազգային բանակցային հարթակ ստեղծելու վերաբերյալ,Իրավական
Փոխել է Գյումրու սրտում գտնվող իր տան պատշգամբի բազրիքը ու հայտնվել իրավապահների ուշադրության կենտրոնում,Իրավական
Կասեցվել է «Պիցցա Տաշիր» ՍՊԸ-ին պատկանող կաթնամթերքի արտադրության արտադրական գործունեությունը Տաշիրում,Իրավական
"Վարդան Ղուկասյանը՝ Սամվել Կարապետյանին. «Սամվել, կողքդ կանգնած ենք, հեչ չմտածես, Աստված մեզ հետ է»",Իրավական
Եվրոպայի փաստաբանների և իրավաբանների միությունների խորհուրդը դիմել է Փաշինյանին՝ մտահոգություն հայտյնելով «Մալխասյանց» փաստաբանական գրասենյակում խուզարկության և առգրավման կապակցությամբ,Իրավական
2024 թ.-ին արձանագրվել է հանցավորության թվի նվազում՝ 1․1 տոկոսով. Արփինե Սարգսյանը ԱԺ-ում ներկայացրել է ՆԳՆ բյուջեի կատարողականը,Իրավական
Էդգար Ղազարյանին ծեծի ենթարկած անձանց պատիժ նշանակվեց 80 ժամ հանրային աշխատանքը,Իրավական
"Քաղավիացիայի գլխավոր վարչության նախկին պետ Արտյոմ Մովսեսյանից բռնագանձել 8 անշարժ գույք, 1,5 միլիարդ դրամ. պահանջում է դատախազությունը",Իրավական
"Մեղադրանքը ապօրինի է, իրականության հետ որեւէ աղերս չունի․ պաշտպանը՝ Սամվել Կարապետյանին առաջադրված մեղադրանքի մասին",Իրավական
Ինչու Քրեակատարողական ծառայությունը նպատակահարմար չի գտնում որոշ դատապարտյալների՝ բանտի սահմաններից դուրս տեսակցությունը,Իրավական
"Սամվել Կարապետյանի դեմ առաջադրված մեղադրանքները` իբր իշխանության զավթման մասին, որևէ իրավական կամ փաստական հիմք չունեն և ակնհայտ ճնշման փորձ են. Սամվել Կարապետյանի մամուլի ծառայության հայտարարությունը",Իրավական
"«Ես ամենակոշտ ու ամենակոպիտ միջոցները կձեռնարկեմ, չեմ հանդուրժի, որ որեւէ մեկի լեզուն պտտվի՝ նման բան ասի»․ Փաշինյանը՝ Սամվել Կարապետյանի մասին",Իրավական
Սամվել Կարապետյանին մեղադրանք է ներկայացվել իշխանությունը զավթելու հրապարակային կոչերի համար,Իրավական
"«Արմեն Աբազյանի պաշտոնավարման ողջ ընթացքը եղել է չափազանց բարդ, եւ ես կարծում եմ՝ նա արժանացել է, որ մի քիչ հանգստանա»․ Նիկոլ Փաշինյան",Իրավական
Վերաքննիչ քրեական դատարանը հաստատեց՝ Ջալալ Հարությունյանը մեղավոր է,Իրավական
Մարդու իրավունքների պաշտպանության միջազգային կոմիտեն դիմել է ՀՀ գլխավոր դատախազին Սամվել Կարապետյանի իրավունքները պաշտպանելու խնդրանքով,Իրավական
ՀՀ վարչապետը ԱԱԾ տնօրենի պաշտոնակատար է նշանակել,Իրավական
Արմեն Աբազյանն ազատվել է ԱԱԾ տնօրենի պաշտոնից,Իրավական
Սամվել Կարապետյանը գիշերն առանձնատնից դուրս եկավ և իրավապահ մարմինների ուղեկցությամբ գնաց ՆԳՆ Կազմակերպված հանցագործությունների դեմ պայքարի վարչություն,Իրավական
«Կառավարության ղեկավարը հերթական անգամ իրեն դուրս է դնում իրավակարգից»,Իրավական
"Խուզարկություններ են իրականացնում գործարար, բարեգործ Սամվել Կարապետյանի` Երևանում գտնվող տանը. Մի քանի ավտոմեքենա է էվակուացվել",Իրավական
Աշտարակի խճուղում լրագրողին հարվածելու առթիվ նախաձեռնվել է քրեական վարույթ,Իրավական
"Եթե ճշմարտությունն ասելը հանցագործություն է, ուրեմն մենք հանցագործներ ենք. Կարեն Կարապետյան",Իրավական
29 տարի բանտում. Պետությունը պետք է ապահովի ցմահ ազատազրկված անձի պայմանական վաղաժամկետ ազատման իրավունքը,Իրավական
"«Առարկում ենք, որ վաղեմության հիմքով Սերժ Սարգսյանի նկատմամբ քրեական հետապնդումը դադարեցվի»․ Ամրամ Մակինյան",Իրավական
Ուրցաձորի նախկին համայնքապետ Ռաֆիկ Անդրեասյանը 2 ամսով կալանավորվել է,Իրավական
ԱԱԾ-ն խուզարկություն է իրականացնում Սամվել Կարապետյանի առանձնատանը,Իրավական
Սամվել Կարապետյանի դեմ իրավական գործընթա՞ց են պատրաստվում իրականացնել,Իրավական
"«Ռոբերտ Քոչարյանի՝ ինձ դատի տալու մասով շատ ուրախ եմ, ինքը պետք է գա ապացուցի, որ մարդասպան չէ, թալանչի չէ»․ Ալեն Սիմոնյան",Իրավական
Ինչու ստեղծվեց հինգաստղանի քրեակատարողական հիմնարկ. «Քաղաքացիական հասարակության ինստիտուտ» ՀԿ-ի տնօրենի դիտարկումները,Իրավական
Սեյրան Օհանյանն ունի շարժունակության սահմանափակում. փաստաբանը դատարանին միջնորդություն էր ներկայացրել,Իրավական
Ավարտվել է 2020 թ.-ին Երևանում զանգվածային անկարգություններին մասնակցած ևս 10 անձի վերաբերյալ քրեական վարույթի նախաքննությունը,Իրավական
Թերհայտարարագրմամբ պետությանը պատճառվել է շուրջ 430 միլիոն դրամի վնաս,Իրավական
"Այսօր Ազգային ժողովում տեղի ունեցած լարվածությունը, ցավոք, խոչընդոտեց բնական և կառուցողական հաղորդակցությանը. ԱՆ մամուլի քարտուղար",Իրավական
«Եկեղեցու մասին խոսելը որեւէ պարագայում չի կարող մեկնաբանվել որպես սահմանադրական կարգի տապալում»․ Սրբուհի Գալյան,Իրավական
"Գոռավանի նախկին ղեկավարը ձևական աճուրդ-վաճառքների միջոցով իր, իր ընտանիքի և մերձավորների անվամբ գրանցել է 543 հա հողատարածքների սեփականության և վարձակալության իրավունքներ",Իրավական
"«Գլխավոր դատախազն ափալ-թափալ իմ դեմ հետապնդման միջնորդություն ներկայացրեց, բա ինչի՞ եք օրակարգի վերջում դրել հարցը»․ Արծվիկ Մինասյան",Իրավական
Իջևանի քաղաքային զբոսայգում գտնվող 3 հողամասերը համայնքին վերադարձնելու վերաբերյալ դատախազության հայցերը բավարարվել են,Իրավական
"«Սա բռնություն է, որն իրականացվել է պետական պաշտոնատար անձի կողմից՝ կոչված պաշտպանելու հանրության անվտանգությունը». Ընդդեմ կանանց նկատմամբ բռնության կոալիցիայի հայտարարությունը",Իրավական
"Թե ինչ դժոխքի միջով են անցել մեր տղերքը, գիտեն միայն նրանք ու այն մարդիկ, որոնք փրկվել են. զոհվածի մայր",Իրավական
"Ադրբեջանի հատուկ նշանակության ստորաբաժանման կարմիր ժապավենները տեսել էին, չէին կարող չհասկանալ, որ թշնամին է. Ջալալ Հարությունյան",Իրավական
Հայ Դատի կենտրոնական խորհուրդը կոչ է անում միջազգային կազմակերպություններին ու առաջնորդներին` չանտեսել իրական սպառնալիքները և ձեռնարկել անհապաղ քայլեր՝ նպաստելու խաղաղությանն ու կայունությանը Հարավային Կովկասում,Իրավական
Հայաստանի ժուռնալիստների միությունը խստիվ դատապարտում է լրատվամիջոցների ու լրագրողների դեմ արշավը,Իրավական
"Քննարկվել են ՀՀ-ում ԱՄՆ դեսպանության կողմից իրականացվող այն ծրագրերը, որոնք զգալի ներդրում ունեն ժողովրդավարական արժեքների ամրապնդման, մարդու իրավունքների պաշտպանության և իրավական միջավայրի զարգացման գործում",Իրավական
"Էդգար Ղազարյան. «Այս վարույթը, չնայած ինձ համար անհարմարություններ եւ իմ իրավունքների սահմանափակումներ է ստեղծել, նաեւ օգտակարության շատ մեծ չափաբաժին է պարունակում»",Իրավական
Լրագրողի նկատմամբ բռնություն գործադրած ոստիկանի արարքը քրեորեն ևս պատժելի է. փաստաբան,Իրավական
Աննա Վարդապետյանը բարձր է գնահատել Նիդերլանդների դեսպանության աջակցությամբ իրականացված վերապատրաստման դասընթացների արդյունավետությունը,Իրավական
"Քթի ծակ չունե՞ք, Ջալալ Հարությունյա՞նը պիտի ասեր. փաստաբանը ներկայացնում է վերաքննիչ բողոքը",Իրավական
Գորիսեցի ըմբշամարտիկը՝ Եվրոպայի պատանեկան առաջնության փոխչեմպիոն,Սպորտ
Հուսով եմ՝ կհանդիպենք. Հենրիխ Մխիթարյանը պատասխանել է տաքսու հայ վարորդին,Սպորտ
"Հայաստանի ալպինիզմի և Լեռնային տուրիզմի ֆեդերացիան ցավակցել է զոհված լեռնագնացների ընտանիքիներին. Նրանք համագործակցում էին Հայաստանի լեռնագնացների հետ, անցյալ տարի Արագած լեռ էին բարձրացել",Սպորտ
"Տարիքը թիվ է, մոտիվացիան է կարևոր. «Ինտեր»-ի մարզիչը՝ Մխիթարյանի մասին",Սպորտ
"«Գյումրիի գավաթին» արժանացել է Մոլդովայի լրագրողների թիմը, Հայաստանը՝ 3-րդն է",Սպորտ
"Արեն Փիրուզյանը հաղթեց ադրբեջանցի, Ռազմիկ Ոսկանյանը՝ ռուս մրցակցին",Սպորտ
Կարեն Խաչանովը պարտվել է կանադացուն,Սպորտ
Արտակ Աղաբեկյանը ոսկե մեդալի համար գոտեմարտելու է ադրբեջանցու հետ,Սպորտ
Հաղթանակս արցախցիներինն է. Շուշեցի մարզիկը ոսկե մեդալ է նվաճել,Սպորտ
Վաղը Եվրոպայի Մ17 առաջնությունում պայքարը կսկսեն Հայաստանի ազատ ոճային ըմբիշները,Սպորտ
"2 ոսկի, 2 արծաթ, 1 բրոնզ ու Եվրոպայի թիմային չեմպիոն",Սպորտ
Հայտնի են Հայաստանի արտիստիկ լողի առաջնության հաղթողները,Սպորտ
Երկու արծաթ եւ երկու ոսկու ակնկալիք,Սպորտ
Հայաստանի երկու ըմբիշ կգոտեմարտի Մ17 Եվրոպայի առաջնության ոսկե մեդալի համար,Սպորտ
Բռնցքամարտիկ Յուրի Սաքունցը հերթական անգամ բարձրացրեց հայկական դրոշը միջազգային ասպարեզում,Սպորտ
Արցախցի Կարեն Սարգսյանը` սամբոյի աշխարհի գավաթի առաջնության չեմպիոն,Սպորտ
Հեծանվի սիրահարները Հանրապետության հրապարակից իրականացրել են հեծանվաշքերթ դեպի Էջմիածին,Սպորտ
"Հայաստանի պարաբազկամարտի հավաքականը 7 ոսկե, 2 արծաթե և 6 բրոնզե մեդալով է վերադարձել Եվրոպայի 27-րդ առաջնությունից",Սպորտ
Ովքե՞ր կմասնակցեն Եվրոպայի Մ17 առաջնությանը,Սպորտ
Հայաստանի բասկետբոլի հավաքականը հաղթեց Կոստա Ռիկայի հավաքականին,Սպորտ
«Ձեր յուրաքանչյուր հաղթանակ շատ ոգևորիչ է». Հասմիկ Ավագյանն ընդունել է Հայաստանի սպորտային մարմնամարզության հավաքականի անդամներին,Սպորտ
Շանթ Սարգսյանը Դուբայ Օփենում գրանցեց 4-րդ տեղը,Սպորտ
Ստեփան Ավագյանի անվան հուշամրցաշարի 7-րդ տուրը Ջերմուկում անցավ առանձնահատուկ մթնոլորտում. Տուրի ընթացքին հետևում էր Սերժ Սարգսյանը,Սպորտ
Եվրոպայի չեմպիոն Համլետ Մանուկյանին հյուրընկալել է Արմավիրի մարզպետը,Սպորտ
"Սպորտլանդիա, միասնության շուրջպար՝ Գյումրիում․ նշվեց Հայաստանի Առաջին Հանրապետության տոնը",Սպորտ
"Ամո՛թ է, որ 49, 50 տարեկան տղամարդը հեծանիվ չքշի. Փաշինյան",Սպորտ
"Շանթ Սարգսյանը պարտության մատնելով Ռուսաստանի ներկայացուցիչ, գրոսմայստեր Իվան Զեմլյանսկիին՝ 6,0 միավորով բաժանում է մրցաշարային աղյուսակի 2-րդից 4-րդ հորիզոնականները",Սպորտ
Ամենակարեւորի՝ ֆուտբոլի մասին,Սպորտ
Միշա Ջորկաեֆֆը՝ Հայաստանի Մ-19 հավաքականի գլխավոր մարզիչ,Սպորտ
Երազանքը հասանելիության սահմաններում է․ Մարտինեսը՝ եզրափակչին ընդառաջ,Սպորտ
Արթուր Դավթյանը՝ Եվրոպայի եռակի չեմպիոն,Սպորտ
«Դպրոցականների բասկետբոլի լիգա». 16 թիմ դուրս է եկել եզրափակիչ,Սպորտ
Հայ շախմատիստները մասնակցում են միջազգային մրցաշարերի,Սպորտ
Նիկոլ Փաշինյանը ներկա է գտնվել «Յուվենտուս» հայաստանյան ակադեմիաների շնորհանդեսին,Սպորտ
Կարեն Խաչանովը Փարիզում «վրեժխնդիր» է եղել Սեբաստյան Օֆներից,Սպորտ
Հայ մարզիկները եզրափակիչ փուլ են անցել սպորտային մարմնամարզության Եվրոպայի մեծահասակների առաջնությունում,Սպորտ
Հայկական դրոշը կրկին ծածանվեց Թուրքիայում. ջրացատկի Եվրոպայի առաջնությունում Ալեքսանդրա Բիբիկինան արծաթե մեդալ է նվաճել,Սպորտ
"Կարեն Խաչանովը անցավ Ռոլան Գարոսի երկրորդ շրջան, Էլինա Ավանեսյանը դեռ չի սկսել",Սպորտ
Մինի ԱԹՍ-ների մրցարշավ՝ երիտասարդ օպերատորների մասնակցությամբ,Սպորտ
Կարեն Խաչանովը պարտվեց աշխարհի 128-րդ ռակետին,Սպորտ
Կարեն Խաչանովը Ժնեւի մրցաշարի քառորդ եզրափակչում է,Սպորտ
"«Երեք օր մեր դասախոսներին եւ ազգային ֆեդերացիաների ներկայացուցիչներին ծանոթացրին, թե ինչ է իրենից ներկայացնում մենեջմենթը սպորտում, ինչպես կարելի է ներգրավել հովանավորների»",Սպորտ
Էնրիկո Դելա Կասան ևս մեկ անգամ հայտնել է Եվրոպական հեծանվային միության պատրաստակամությունը՝ աջակցելու Հայաստանում հեծանվասպորտի զարգացմանը,Սպորտ
"«Շիրակ» ֆուտբոլային ակումբին այլ ելք չի մնում, քան Գյումրու ֆուտբոլի ակադեմիան հետ հանձնել ՀՖՖ-ին",Սպորտ
Հայաստանի ներկայացուցիչները 19 մեդալ են նվաճել ավանդական ուշուի Եվրոպայի առաջնությունում,Սպորտ
Կարինե Ակոպովա-Նիկիտա Ռախմանին գեղասահքի զույգը հանդես կգա Հայաստանի դրոշի ներքո,Սպորտ
"Էդուարդ Սանամյան. «Որ Հայաստանում սկսել են ավելի հաճախ միջազգային մրցումներ անցկացվել, դա մեր երեխաներին փորձ ձեռք բերելու բացառիկ հնարավորություն է տալիս»",Սպորտ
Հայաստանի վեց շախմատիստներ մեկնարկում են Շարժայի մրցաշարում,Սպորտ
Ֆուտբոլային խաղի ժամանակ դաշտ ներխուժած երիտասարդի նկատմամբ բռնություն կիրառած անձը այլևս տեղ չի կարող ունենալ ոչ մի խաղի ժամանակ անվտանգության իրականացնելու համար. Ալեն Սիմոնյան,Սպորտ
